Использование памяти (RSS): 306.98 MB
Использование CPU: 0.00%

         190403 function calls (179442 primitive calls) in 2.577 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 2436/240    0.002    0.000    0.007    0.000 <frozen abc>:121(__subclasscheck__)
 2436/240    0.004    0.000    0.007    0.000 {built-in method _abc._abc_subclasscheck}
        2    0.000    0.000    0.007    0.003 subprocess.py:807(__init__)
        1    0.000    0.000    0.007    0.007 Trancribator.py:21(read_wave)
       29    0.000    0.000    0.007    0.000 node.py:40(__init__)
        8    0.000    0.000    0.007    0.001 model.py:146(__init__)
       12    0.000    0.000    0.007    0.001 resource_variable_ops.py:1060(assign)
        2    0.000    0.000    0.006    0.003 wave.py:642(open)
        2    0.000    0.000    0.006    0.003 subprocess.py:1436(_execute_child)
        1    0.000    0.000    0.006    0.006 wave.py:279(__init__)
    30/28    0.000    0.000    0.006    0.000 traceback_utils.py:148(error_handler)
       15    0.000    0.000    0.006    0.000 tensor.py:1049(_graph_placeholder)
       28    0.000    0.000    0.006    0.000 operation.py:56(symbolic_call)
        2    0.006    0.003    0.006    0.003 {built-in method _winapi.CreateProcess}
      206    0.000    0.000    0.006    0.000 inspect.py:3077(from_callable)
      198    0.000    0.000    0.006    0.000 inspect.py:3339(signature)
1975/1937    0.003    0.000    0.006    0.000 tracking.py:70(track)
1768/1729    0.000    0.000    0.006    0.000 <frozen abc>:117(__instancecheck__)
       24    0.006    0.000    0.006    0.000 {built-in method _io.open_code}
    41/34    0.000    0.000    0.006    0.000 math_ops.py:940(cast)
16608/16597    0.004    0.000    0.005    0.000 {built-in method builtins.getattr}
       29    0.000    0.000    0.005    0.000 symbolic_arguments.py:6(__init__)
      492    0.000    0.000    0.005    0.000 base.py:200(_method_wrapper)
1768/1729    0.001    0.000    0.005    0.000 {built-in method _abc._abc_instancecheck}
       71    0.000    0.000    0.005    0.000 func_graph.py:674(capture)
       71    0.000    0.000    0.005    0.000 capture_container.py:88(capture_by_value)
       10    0.000    0.000    0.005    0.000 capture_container.py:267(_create_placeholder_helper)
       10    0.000    0.000    0.005    0.000 capture_container.py:157(add_or_replace)
1333/1165    0.001    0.000    0.005    0.000 data_structures.py:86(wrap_or_unwrap)
  572/334    0.000    0.000    0.004    0.000 contextlib.py:132(__enter__)
    38/19    0.000    0.000    0.004    0.000 serialization_lib.py:393(deserialize_keras_object)
       24    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
        1    0.000    0.000    0.004    0.004 numpy.py:3711(matmul)
        1    0.000    0.000    0.004    0.004 numpy.py:349(matmul)
      232    0.002    0.000    0.004    0.000 inspect.py:2393(_signature_from_function)
        1    0.000    0.000    0.004    0.004 math_ops.py:3400(matmul)
        1    0.000    0.000    0.004    0.004 gen_math_ops.py:6895(mat_mul)
       10    0.000    0.000    0.004    0.000 override_binary_operator.py:105(binary_op_wrapper)
        2    0.000    0.000    0.004    0.002 dropout.py:41(__init__)
       10    0.000    0.000    0.004    0.000 handle_data_util.py:64(set_handle_data)
       28    0.000    0.000    0.004    0.000 layer.py:1053(compute_output_spec)
       24    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1520(find_spec)
       24    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1491(_get_spec)
        4    0.000    0.000    0.004    0.001 function_type.py:342(placeholder_arguments)
        1    0.000    0.000    0.004    0.004 dataset_ops.py:973(range)
       16    0.000    0.000    0.004    0.000 layer.py:215(__new__)
       64    0.001    0.000    0.004    0.000 layer.py:1558(__init__)
        2    0.000    0.000    0.004    0.002 metric.py:192(add_variable)
1233/1198    0.001    0.000    0.004    0.000 trackable.py:31(sticky_attribute_assignment)
        1    0.000    0.000    0.004    0.004 saving_utils.py:126(compile_args_from_training_config)
        5    0.000    0.000    0.004    0.001 dense.py:72(__init__)
        1    0.000    0.000    0.004    0.004 __init__.py:48(deserialize)
       24    0.000    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:1593(find_spec)
        1    0.000    0.000    0.004    0.004 base_optimizer.py:933(from_config)
        1    0.000    0.000    0.004    0.004 adam.py:43(__init__)
        1    0.000    0.000    0.004    0.004 optimizer.py:22(__init__)
        1    0.000    0.000    0.004    0.004 base_optimizer.py:68(__init__)
       49    0.002    0.000    0.004    0.000 group.py:348(__getitem__)
       61    0.000    0.000    0.003    0.000 tf_decorator.py:115(make_decorator)
       47    0.000    0.000    0.003    0.000 func_graph.py:442(as_default)
       16    0.000    0.000    0.003    0.000 trainer.py:20(__init__)
        2    0.000    0.000    0.003    0.002 seed_generator.py:48(__init__)
       16    0.000    0.000    0.003    0.000 operation.py:91(__new__)
      293    0.001    0.000    0.003    0.000 typing.py:1899(__instancecheck__)
        1    0.000    0.000    0.003    0.003 tree_api.py:41(traverse)
        1    0.000    0.000    0.003    0.003 optree_impl.py:33(traverse)
        1    0.000    0.000    0.003    0.003 array_data_adapter.py:202(grab_one)
        1    0.000    0.000    0.003    0.003 gen_dataset_ops.py:3539(map_dataset)
        5    0.000    0.000    0.003    0.001 tensor_math_operator_overrides.py:79(_subtract_factory)
      155    0.000    0.000    0.003    0.000 base.py:601(_handle_deferred_dependencies)
      331    0.000    0.000    0.003    0.000 tensor_util.py:1128(is_tf_type)
      100    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
       47    0.000    0.000    0.003    0.000 tf_contextlib.py:26(contextmanager)
      191    0.000    0.000    0.003    0.000 optree_impl.py:72(map_structure)
        1    0.000    0.000    0.003    0.003 range_op.py:24(_range)
       63    0.001    0.000    0.003    0.000 tf_stack.py:150(extract_stack)
        1    0.000    0.000    0.003    0.003 range_op.py:31(__init__)
      100    0.003    0.000    0.003    0.000 {built-in method nt.stat}
      148    0.000    0.000    0.003    0.000 nest_util.py:615(flatten)
       94    0.000    0.000    0.003    0.000 func_graph.py:445(inner_cm)
        1    0.000    0.000    0.003    0.003 array_ops.py:938(slice)
        1    0.000    0.000    0.003    0.003 gen_array_ops.py:12146(_slice)
      191    0.003    0.000    0.003    0.000 ops.py:694(tree_map)
        1    0.000    0.000    0.003    0.003 variables.py:223(assign)
       61    0.000    0.000    0.003    0.000 data_structures.py:468(__init__)
        2    0.000    0.000    0.003    0.001 core.py:34(_initialize)
      273    0.000    0.000    0.003    0.000 core.py:146(is_tensor)
       61    0.000    0.000    0.003    0.000 data_structures.py:363(__init__)
        6    0.000    0.000    0.003    0.000 legacy_h5_format.py:554(load_subset_weights_from_hdf5_group)
        7    0.000    0.000    0.003    0.000 constant_initializers.py:63(__call__)
      112    0.000    0.000    0.003    0.000 nest_util.py:721(_tf_core_flatten)
        1    0.000    0.000    0.002    0.002 gen_dataset_ops.py:6256(range_dataset)
      112    0.000    0.000    0.002    0.000 {built-in method tensorflow.python.util._pywrap_utils.Flatten}
        9    0.000    0.000    0.002    0.000 ops.py:269(_create_graph_constant)
       96    0.000    0.000    0.002    0.000 nest.py:198(flatten)
        2    0.000    0.000    0.002    0.001 subprocess.py:1259(wait)
        2    0.000    0.000    0.002    0.001 subprocess.py:1580(_wait)
  572/359    0.000    0.000    0.002    0.000 contextlib.py:141(__exit__)
      307    0.001    0.000    0.002    0.000 inspect.py:1841(getattr_static)
        1    0.000    0.000    0.002    0.002 dataset_ops.py:1016(zip)
        2    0.002    0.001    0.002    0.001 {built-in method _winapi.WaitForSingleObject}
       79    0.000    0.000    0.002    0.000 data_structures.py:698(_track_value)
       86    0.000    0.000    0.002    0.000 data_structures.py:196(_track_value)
        2    0.000    0.000    0.002    0.001 dataset_ops.py:2953(with_options)
        2    0.000    0.000    0.002    0.001 dataset_ops.py:4850(__init__)
        2    0.000    0.000    0.002    0.001 gen_dataset_ops.py:7859(tensor_dataset)
       63    0.002    0.000    0.002    0.000 {built-in method tensorflow.python.util._tf_stack.extract_stack}
        1    0.000    0.000    0.002    0.002 legacy_h5_format.py:571(load_optimizer_weights_from_hdf5_group)
        7    0.000    0.000    0.002    0.000 numpy.py:6280(zeros)
        7    0.000    0.000    0.002    0.000 numpy.py:614(zeros)
        7    0.000    0.000    0.002    0.000 array_ops.py:2557(wrapped)
        2    0.000    0.000    0.002    0.001 dataset_ops.py:1231(prefetch)
        2    0.000    0.000    0.002    0.001 prefetch_op.py:24(_prefetch)
        2    0.000    0.000    0.002    0.001 prefetch_op.py:34(__init__)
      138    0.000    0.000    0.002    0.000 __init__.py:280(_compile)
        7    0.000    0.000    0.002    0.000 array_ops.py:2565(zeros)
       24    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:751(_compile_bytecode)
       14    0.000    0.000    0.002    0.000 dataset_ops.py:227(__init__)
     4205    0.001    0.000    0.002    0.000 global_state.py:15(get_global_attribute)
     1068    0.001    0.000    0.002    0.000 dtypes.py:793(as_dtype)
       61    0.000    0.000    0.002    0.000 tf_decorator.py:308(__init__)
     3249    0.001    0.000    0.002    0.000 tracking.py:18(is_tracking_enabled)
       19    0.001    0.000    0.002    0.000 attrs.py:52(__getitem__)
       76    0.000    0.000    0.002    0.000 context.py:632(ensure_initialized)
        1    0.000    0.000    0.002    0.002 callback_list.py:15(__init__)
        8    0.000    0.000    0.002    0.000 model.py:138(__new__)
       24    0.002    0.000    0.002    0.000 {built-in method marshal.loads}
        4    0.000    0.000    0.002    0.000 array_ops.py:253(identity)
       16    0.000    0.000    0.002    0.000 operation.py:17(__init__)
        4    0.000    0.000    0.002    0.000 gen_array_ops.py:4982(identity)
       12    0.000    0.000    0.002    0.000 core.py:65(_convert_to_tensor)
        7    0.000    0.000    0.002    0.000 _compiler.py:740(compile)
7089/7073    0.001    0.000    0.002    0.000 {built-in method builtins.hasattr}
       73    0.000    0.000    0.002    0.000 op_def_library.py:52(_SatisfiesTypeConstraint)
        1    0.000    0.000    0.002    0.002 gen_dataset_ops.py:2415(flat_map_dataset)
       39    0.000    0.000    0.002    0.000 op_def_library.py:317(_ExtractAttrProto)
      600    0.002    0.000    0.002    0.000 {built-in method optree._C.flatten}
        1    0.000    0.000    0.002    0.002 trainer.py:484(get_data)
        1    0.000    0.000    0.002    0.002 callback_list.py:53(_configure_async_dispatch)
        1    0.000    0.000    0.002    0.002 iterator_ops.py:824(__next__)
        1    0.000    0.000    0.002    0.002 iterator_ops.py:756(_next_internal)
        4    0.000    0.000    0.002    0.000 polymorphic_function.py:462(__init__)
    38/36    0.147    0.004    0.002    0.000 {method 'read' of '_io.BufferedReader' objects}
      129    0.000    0.000    0.001    0.000 layer.py:1551(is_backend_tensor_or_symbolic)
      405    0.000    0.000    0.001    0.000 tree_api.py:91(flatten)
        7    0.000    0.000    0.001    0.000 functional.py:98(__new__)
        1    0.000    0.000    0.001    0.001 __init__.py:41(__getattr__)
       56    0.000    0.000    0.001    0.000 ops.py:1548(get_attr)
        1    0.000    0.000    0.001    0.001 zip_op.py:23(_zip)
      4/2    0.000    0.000    0.001    0.001 deprecation.py:554(new_func)
        1    0.000    0.000    0.001    0.001 zip_op.py:30(__init__)
        5    0.000    0.000    0.001    0.000 shape_util.py:23(shape_tensor)
        5    0.000    0.000    0.001    0.000 gen_stateless_random_ops_v2.py:551(stateless_random_uniform_v2)
       33    0.000    0.000    0.001    0.000 layer.py:1654(update_shapes_dict_for_target_fn)
        1    0.000    0.000    0.001    0.001 array_ops.py:4963(gather_v2)
        1    0.001    0.001    0.001    0.001 {built-in method tensorflow.python._pywrap_tfe.TFE_NewContext}
        5    0.000    0.000    0.001    0.000 gen_math_ops.py:4570(floor_mod)
        3    0.000    0.000    0.001    0.000 structured_function.py:228(trace_tf_function)
       14    0.000    0.000    0.001    0.000 options.py:743(merge)
      343    0.000    0.000    0.001    0.000 {method 'join' of 'str' objects}
        1    0.000    0.000    0.001    0.001 gen_dataset_ops.py:3092(iterator_get_next)
       14    0.000    0.000    0.001    0.000 options.py:115(merge_options)
      113    0.000    0.000    0.001    0.000 ops.py:1467(<genexpr>)
        4    0.000    0.000    0.001    0.000 function_type_utils.py:342(make_function_type)
        2    0.000    0.000    0.001    0.001 gen_dataset_ops.py:6128(prefetch_dataset)
       26    0.000    0.000    0.001    0.000 inspect.py:1358(getfullargspec)
      245    0.000    0.000    0.001    0.000 {built-in method builtins.all}
      406    0.000    0.000    0.001    0.000 optree_impl.py:62(flatten)
       49    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
 1549/497    0.001    0.000    0.001    0.000 options.py:654(__getattribute__)
       16    0.000    0.000    0.001    0.000 layer.py:10(__init__)
        7    0.000    0.000    0.001    0.000 array_ops.py:204(fill)
       46    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
       63    0.000    0.000    0.001    0.000 ops.py:2729(_create_op_helper)
        1    0.000    0.000    0.001    0.001 sequential.py:69(__init__)
      131    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
       94    0.000    0.000    0.001    0.000 ops.py:4654(get_controller)
      107    0.000    0.000    0.001    0.000 core.py:634(__enter__)
      572    0.000    0.000    0.001    0.000 contextlib.py:299(helper)
       32    0.000    0.000    0.001    0.000 layer.py:320(_initialize_tracker)
       25    0.000    0.000    0.001    0.000 __init__.py:164(match)
        5    0.000    0.000    0.001    0.000 random_ops_util.py:127(get_key_counter_alg)
      492    0.000    0.000    0.001    0.000 base.py:325(_maybe_initialize_trackable)
        7    0.000    0.000    0.001    0.000 api.py:37(call_with_layout)
       99    0.000    0.000    0.001    0.000 inspect.py:3268(bind)
       12    0.000    0.000    0.001    0.000 dataset.py:1074(__array__)
      456    0.000    0.000    0.001    0.000 op_def_library.py:55(<genexpr>)
        7    0.000    0.000    0.001    0.000 gen_array_ops.py:4140(fill)
        1    0.000    0.000    0.001    0.001 thread.py:69(_worker)
        8    0.000    0.000    0.001    0.000 dataset_ops.py:4468(__init__)
        1    0.000    0.000    0.001    0.001 {method 'get' of '_queue.SimpleQueue' objects}
        1    0.000    0.000    0.001    0.001 gen_dataset_ops.py:5985(parallel_map_dataset_v2)
        2    0.000    0.000    0.001    0.001 gen_dataset_ops.py:4696(options_dataset)
      406    0.000    0.000    0.001    0.000 ops.py:122(tree_flatten)
        1    0.000    0.000    0.001    0.001 array_ops.py:4747(gather)
        5    0.000    0.000    0.001    0.000 random_ops_util.py:92(_get_key_counter)
        1    0.000    0.000    0.001    0.001 gen_array_ops.py:4772(gather_v2)
        1    0.000    0.000    0.001    0.001 input_layer.py:11(__init__)
        1    0.000    0.000    0.001    0.001 trainer.py:443(predict)
        7    0.000    0.000    0.001    0.000 _parser.py:969(parse)
       99    0.001    0.000    0.001    0.000 inspect.py:3129(_bind)
       15    0.000    0.000    0.001    0.000 legacy_h5_format.py:589(load_attributes_from_hdf5_group)
        5    0.000    0.000    0.001    0.000 gen_stateless_random_ops_v2.py:165(stateless_random_get_key_counter)
      389    0.001    0.000    0.001    0.000 inspect.py:2739(__init__)
        8    0.000    0.000    0.001    0.000 func_graph.py:64(convert_structure_to_signature)
      559    0.000    0.000    0.001    0.000 context.py:2390(executing_eagerly)
        8    0.000    0.000    0.001    0.000 polymorphic_function.py:574(_generate_scoped_tracing_options)
      6/1    0.000    0.000    0.001    0.001 core.py:62(_direct_assign)
        5    0.000    0.000    0.001    0.000 gen_math_ops.py:2317(cast)
     26/7    0.000    0.000    0.001    0.000 _parser.py:452(_parse_sub)
      326    0.001    0.000    0.001    0.000 inspect.py:3025(__init__)
      108    0.000    0.000    0.001    0.000 ops.py:5748(__enter__)
       10    0.000    0.000    0.001    0.000 {built-in method numpy.asarray}
      556    0.000    0.000    0.001    0.000 options.py:99(get_fn)
       57    0.000    0.000    0.001    0.000 ops.py:5566(__enter__)
       37    0.000    0.000    0.001    0.000 tensor.py:743(__tf_tracing_type__)
       12    0.000    0.000    0.001    0.000 <frozen _collections_abc>:804(get)
       44    0.000    0.000    0.001    0.000 layer.py:784(maybe_convert)
       38    0.000    0.000    0.001    0.000 nest_util.py:866(_tf_core_pack_sequence_as)
     31/7    0.000    0.000    0.001    0.000 _parser.py:512(_parse)
        5    0.000    0.000    0.001    0.000 math_ops.py:3841(add)
      146    0.000    0.000    0.001    0.000 ops.py:3273(name_scope)
        5    0.000    0.000    0.001    0.000 tensor_math_operator_overrides.py:61(_mul_dispatch_factory)
        1    0.000    0.000    0.001    0.001 default_types.py:345(placeholder_value)
      747    0.001    0.000    0.001    0.000 context.py:1077(executing_eagerly)
      392    0.001    0.000    0.001    0.000 variables.py:489(standardize_dtype)
      467    0.001    0.000    0.001    0.000 dtypes.py:264(__eq__)
       39    0.000    0.000    0.001    0.000 op_def_library.py:724(_GetOpDef)
        5    0.000    0.000    0.001    0.000 math_ops.py:1704(_mul_dispatch)
       63    0.001    0.000    0.001    0.000 {built-in method tensorflow.python.client._pywrap_tf_session.TF_FinishOperation}
        5    0.000    0.000    0.001    0.000 math_ops.py:541(subtract)
        1    0.000    0.000    0.001    0.001 tree_api.py:151(map_structure_up_to)
      136    0.000    0.000    0.001    0.000 tracking.py:144(append)
        5    0.000    0.000    0.001    0.000 gen_math_ops.py:13509(sub)
       41    0.000    0.000    0.001    0.000 layer.py:1467(_assert_input_compatibility)
       48    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:482(cache_from_source)
       33    0.000    0.000    0.001    0.000 files.py:376(__init__)
      474    0.000    0.000    0.001    0.000 ops.py:5098(get_default_graph)
        1    0.000    0.000    0.001    0.001 gen_dataset_ops.py:189(anonymous_iterator_v3)
       31    0.000    0.000    0.001    0.000 nest_util.py:729(pack_sequence_as)
        5    0.000    0.000    0.001    0.000 math_ops.py:477(multiply)
      307    0.000    0.000    0.001    0.000 inspect.py:1802(_check_class)
        5    0.000    0.000    0.001    0.000 gen_math_ops.py:487(add_v2)
        5    0.000    0.000    0.001    0.000 gen_math_ops.py:7553(mul)
        3    0.000    0.000    0.001    0.000 structure.py:70(normalize_element)
       31    0.000    0.000    0.001    0.000 input_spec.py:121(assert_input_compatibility)
       44    0.000    0.000    0.001    0.000 dtype_policy.py:150(convert_input)
        7    0.000    0.000    0.001    0.000 function.py:217(map_graph)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:806(module_from_spec)
       28    0.000    0.000    0.001    0.000 resource_variable_ops.py:379(__init__)
      955    0.001    0.000    0.001    0.000 inspect.py:1828(_shadowed_dict)
        1    0.000    0.000    0.001    0.001 gen_dataset_ops.py:7937(tensor_slice_dataset)
        1    0.000    0.000    0.001    0.001 utils.py:220(get_extra_info)
       63    0.000    0.000    0.001    0.000 ops.py:947(_NodeDef)
        9    0.000    0.000    0.001    0.000 tensor_util.py:425(make_tensor_proto)
       29    0.000    0.000    0.001    0.000 keras_tensor.py:30(__init__)
       12    0.000    0.000    0.001    0.000 resource_variable_ops.py:1050(_lazy_read)
      572    0.001    0.000    0.001    0.000 contextlib.py:104(__init__)
      121    0.000    0.000    0.001    0.000 functools.py:35(update_wrapper)
       27    0.000    0.000    0.001    0.000 {built-in method builtins.__build_class__}
       62    0.000    0.000    0.001    0.000 tensor_conversion_registry.py:134(get)
        5    0.000    0.000    0.001    0.000 dataset_ops.py:4479(__init__)
      507    0.000    0.000    0.001    0.000 compat.py:111(as_str)
       24    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
        1    0.000    0.000    0.001    0.001 gen_dataset_ops.py:8507(zip_dataset)
